epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,478.742,0.90496,0.63423,0.88689,0.86053,0.82289,0.88438,0.50319,1.41864,1.08123,1.1705,0.0009308,0.0009308,0.0009308
110,483.502,0.91858,0.65965,0.911,0.83589,0.86667,0.89453,0.52082,1.39726,1.03004,1.1465,0.0009209,0.0009209,0.0009209
111,488.137,0.89951,0.62232,0.89726,0.83495,0.86667,0.89744,0.50499,1.49644,1.05348,1.1779,0.000911,0.000911,0.000911
112,492.73,0.938,0.62968,0.91138,0.8383,0.8641,0.8715,0.49258,1.49193,1.04595,1.2012,0.0009011,0.0009011,0.0009011
113,497.246,0.92041,0.6253,0.89024,0.85708,0.83333,0.87486,0.53677,1.42804,1.0051,1.17828,0.0008912,0.0008912,0.0008912
114,501.981,0.89345,0.61407,0.88,0.75354,0.86667,0.89005,0.54928,1.40889,0.97759,1.16899,0.0008813,0.0008813,0.0008813
115,506.509,0.92484,0.64016,0.91513,0.85627,0.8,0.87831,0.52693,1.46373,0.98842,1.1972,0.0008714,0.0008714,0.0008714
116,511.168,0.91443,0.66443,0.9013,0.85611,0.79352,0.87497,0.48197,1.55067,1.01414,1.22099,0.0008615,0.0008615,0.0008615
117,515.775,0.89828,0.61331,0.87609,0.81467,0.8,0.8469,0.52318,1.40731,1.05991,1.14652,0.0008516,0.0008516,0.0008516
118,520.487,0.91944,0.61115,0.88955,0.84753,0.76667,0.85215,0.51754,1.4164,1.08379,1.14729,0.0008417,0.0008417,0.0008417
119,525.18,0.86902,0.58321,0.88278,0.85516,0.8,0.87239,0.51332,1.4601,1.04028,1.1672,0.0008318,0.0008318,0.0008318
120,529.935,0.89199,0.59994,0.90593,0.84846,0.8,0.86163,0.51815,1.45333,1.08257,1.15512,0.0008219,0.0008219,0.0008219
121,534.78,0.88099,0.58306,0.89761,0.83926,0.8,0.85014,0.49225,1.47539,1.10462,1.17882,0.000812,0.000812,0.000812
122,539.495,0.87615,0.58735,0.90488,0.7817,0.86667,0.85738,0.50511,1.48174,1.10828,1.1884,0.0008021,0.0008021,0.0008021
123,544.042,0.87398,0.60344,0.88299,0.83232,0.82743,0.85194,0.47533,1.5861,1.09489,1.224,0.0007922,0.0007922,0.0007922
124,548.639,0.8496,0.58207,0.87451,0.77972,0.82613,0.85994,0.51233,1.47633,1.04405,1.17252,0.0007823,0.0007823,0.0007823
125,553.356,0.87317,0.573,0.88472,0.78697,0.86209,0.86875,0.48717,1.52934,1.03359,1.22016,0.0007724,0.0007724,0.0007724
126,557.883,0.8898,0.62949,0.89531,0.86801,0.8,0.87884,0.48835,1.53924,0.9931,1.24536,0.0007625,0.0007625,0.0007625
127,562.583,0.88056,0.62917,0.87849,0.85623,0.79426,0.87921,0.51564,1.498,0.97071,1.2387,0.0007526,0.0007526,0.0007526
128,567.288,0.90401,0.59144,0.88911,0.78756,0.86507,0.87202,0.48598,1.55599,1.01199,1.25574,0.0007427,0.0007427,0.0007427
129,571.849,0.87486,0.58622,0.87398,0.90989,0.8,0.89228,0.52778,1.41803,0.92444,1.15567,0.0007328,0.0007328,0.0007328
130,576.453,0.85923,0.56674,0.8974,0.94632,0.8,0.9056,0.53152,1.4392,0.90914,1.15854,0.0007229,0.0007229,0.0007229
131,580.955,0.86829,0.58238,0.88546,0.92161,0.86667,0.90418,0.53928,1.40681,0.90187,1.13989,0.000713,0.000713,0.000713
132,585.795,0.8401,0.57054,0.87231,0.85405,0.86667,0.90354,0.51131,1.5285,0.90881,1.20928,0.0007031,0.0007031,0.0007031
133,590.58,0.88621,0.57448,0.88585,0.86176,0.9,0.90664,0.52902,1.50929,0.90553,1.19334,0.0006932,0.0006932,0.0006932
134,595.08,0.85638,0.58135,0.86372,0.86972,0.9,0.90729,0.5582,1.40651,0.87894,1.14484,0.0006833,0.0006833,0.0006833
135,599.926,0.85085,0.59183,0.86643,0.74276,0.9,0.86529,0.52329,1.4287,0.942,1.15668,0.0006734,0.0006734,0.0006734
136,604.515,0.82435,0.591,0.88519,0.90246,0.73333,0.85096,0.47328,1.58543,1.03267,1.21867,0.0006635,0.0006635,0.0006635
137,609.201,0.86101,0.6017,0.87916,0.80016,0.83333,0.8879,0.56313,1.36336,0.91635,1.11127,0.0006536,0.0006536,0.0006536
138,613.982,0.80528,0.56667,0.88908,0.78478,0.86667,0.89102,0.53447,1.43897,0.98161,1.14722,0.0006437,0.0006437,0.0006437
139,618.639,0.86314,0.58343,0.90583,0.79314,0.9,0.8796,0.5187,1.4607,0.98834,1.15379,0.0006338,0.0006338,0.0006338
140,623.221,0.84786,0.58484,0.90352,0.89282,0.83333,0.89376,0.54995,1.42108,0.95267,1.14361,0.0006239,0.0006239,0.0006239
141,627.853,0.81456,0.57863,0.85426,0.89591,0.86087,0.89618,0.52222,1.46741,0.94214,1.15838,0.000614,0.000614,0.000614
142,632.644,0.80988,0.57491,0.87853,0.86619,0.86667,0.90099,0.53026,1.4085,0.89808,1.13895,0.0006041,0.0006041,0.0006041
143,637.391,0.80389,0.57953,0.86256,0.89964,0.86667,0.89675,0.5333,1.41955,0.86679,1.15566,0.0005942,0.0005942,0.0005942
144,642.188,0.86071,0.57636,0.88384,0.91387,0.83333,0.87752,0.51488,1.44135,0.91602,1.17903,0.0005843,0.0005843,0.0005843
145,646.894,0.85347,0.54227,0.8843,0.8549,0.83333,0.86264,0.5253,1.44589,0.94621,1.17726,0.0005744,0.0005744,0.0005744
146,651.618,0.847,0.56695,0.88673,0.85321,0.83333,0.85177,0.50002,1.47257,0.99835,1.1989,0.0005645,0.0005645,0.0005645
147,656.311,0.80445,0.52546,0.87011,0.83715,0.85697,0.85156,0.51968,1.43917,1.00254,1.17263,0.0005546,0.0005546,0.0005546
148,660.99,0.81896,0.52534,0.86866,0.87432,0.8,0.85372,0.48998,1.54181,1.03409,1.21999,0.0005447,0.0005447,0.0005447
149,665.885,0.77968,0.53529,0.8823,0.81124,0.8597,0.84062,0.4929,1.49308,1.03014,1.18965,0.0005348,0.0005348,0.0005348
150,670.648,0.80338,0.55944,0.86475,0.8322,0.83333,0.81666,0.48548,1.41679,1.02149,1.14762,0.0005249,0.0005249,0.0005249
151,675.272,0.82374,0.54301,0.88774,0.79705,0.83333,0.8291,0.47941,1.49107,1.00997,1.17261,0.000515,0.000515,0.000515
152,679.766,0.81782,0.56851,0.8741,0.80146,0.8,0.87518,0.47855,1.61931,1.05204,1.21851,0.0005051,0.0005051,0.0005051
153,684.32,0.8202,0.55148,0.86445,0.77458,0.93333,0.90168,0.53164,1.49174,0.95729,1.15903,0.0004952,0.0004952,0.0004952
154,688.954,0.82442,0.55699,0.86104,0.92525,0.82538,0.91055,0.56684,1.348,0.87466,1.1006,0.0004853,0.0004853,0.0004853
155,693.546,0.8256,0.54145,0.86368,0.86103,0.9,0.91421,0.55259,1.41086,0.8633,1.13382,0.0004754,0.0004754,0.0004754
156,698.138,0.79872,0.53568,0.8766,0.83459,0.9,0.9111,0.5265,1.49977,0.87856,1.16509,0.0004655,0.0004655,0.0004655
157,702.87,0.82906,0.5454,0.84942,0.81394,0.9,0.90631,0.55208,1.44561,0.87478,1.13685,0.0004556,0.0004556,0.0004556
158,707.404,0.76933,0.49958,0.8697,0.84211,0.88915,0.90857,0.56085,1.46901,0.89018,1.14749,0.0004457,0.0004457,0.0004457
159,712.024,0.76895,0.52229,0.87556,0.83897,0.86841,0.89589,0.51462,1.53722,0.94456,1.17838,0.0004358,0.0004358,0.0004358
160,716.705,0.80175,0.53619,0.87477,0.83843,0.9,0.89464,0.54849,1.46111,0.90861,1.14947,0.0004259,0.0004259,0.0004259
161,721.361,0.79464,0.5133,0.86305,0.84357,0.89882,0.89915,0.54171,1.45944,0.89741,1.15905,0.000416,0.000416,0.000416
162,725.952,0.77024,0.50109,0.87198,0.82816,0.86667,0.88991,0.50646,1.52058,0.92476,1.18497,0.0004061,0.0004061,0.0004061
163,730.525,0.7685,0.51698,0.88407,0.84203,0.88861,0.89706,0.53155,1.46961,0.90503,1.16518,0.0003962,0.0003962,0.0003962
164,735.238,0.78434,0.52827,0.89632,0.79728,0.93333,0.90091,0.53632,1.469,0.89789,1.15702,0.0003863,0.0003863,0.0003863
165,739.794,0.75492,0.50365,0.87068,0.92234,0.79204,0.8988,0.48909,1.54659,0.90323,1.19615,0.0003764,0.0003764,0.0003764
166,744.524,0.78126,0.51793,0.85321,0.91383,0.8,0.89792,0.50569,1.48017,0.87382,1.16921,0.0003665,0.0003665,0.0003665
167,749.263,0.74526,0.51277,0.85635,0.86563,0.85914,0.90119,0.53814,1.38467,0.83167,1.12841,0.0003566,0.0003566,0.0003566
168,753.902,0.73512,0.50968,0.86897,0.88778,0.86667,0.90675,0.54379,1.41453,0.85704,1.12797,0.0003467,0.0003467,0.0003467
